,cha,con,dex,int,result,str,wis
61,19.0,4.0,7.0,14.0,fail,5.0,20.0
62,10.0,14.0,17.0,7.0,succeed,10.0,12.0
63,16.0,13.0,12.0,7.0,fail,11.0,8.0
64,6.0,12.0,8.0,12.0,fail,10.0,12.0
65,15.0,6.0,9.0,19.0,succeed,13.0,6.0
66,13.0,5.0,18.0,14.0,succeed,10.0,10.0
67,8.0,17.0,12.0,13.0,succeed,2.0,15.0
68,4.0,15.0,16.0,5.0,fail,16.0,6.0
69,5.0,8.0,11.0,19.0,succeed,14.0,10.0
70,5.0,9.0,15.0,15.0,succeed,9.0,7.0
71,10.0,6.0,17.0,8.0,fail,12.0,11.0
72,12.0,19.0,5.0,4.0,fail,15.0,12.0
73,13.0,9.0,6.0,18.0,succeed,11.0,9.0
74,11.0,13.0,16.0,15.0,fail,11.0,10.0
75,6.0,13.0,16.0,19.0,fail,15.0,14.0
76,12.0,11.0,20.0,19.0,succeed,10.0,14.0
77,14.0,16.0,3.0,16.0,succeed,20.0,14.0
78,9.0,9.0,11.0,18.0,succeed,17.0,7.0
79,10.0,13.0,16.0,19.0,succeed,9.0,11.0
80,3.0,10.0,13.0,13.0,fail,15.0,16.0
81,8.0,11.0,18.0,10.0,fail,4.0,14.0
82,4.0,15.0,5.0,13.0,fail,17.0,8.0
83,12.0,7.0,7.0,13.0,fail,10.0,13.0
84,12.0,10.0,11.0,14.0,succeed,8.0,9.0
85,7.0,14.0,8.0,12.0,succeed,18.0,7.0
86,13.0,20.0,13.0,9.0,succeed,10.0,8.0
87,4.0,20.0,7.0,6.0,succeed,12.0,12.0
88,9.0,13.0,13.0,15.0,fail,3.0,9.0
89,11.0,13.0,11.0,14.0,succeed,16.0,11.0
90,11.0,8.0,12.0,10.0,fail,10.0,9.0
91,11.0,12.0,8.0,9.0,succeed,10.0,13.0
92,16.0,8.0,10.0,16.0,succeed,8.0,4.0
93,13.0,3.0,18.0,12.0,fail,17.0,6.0
94,12.0,16.0,14.0,14.0,succeed,19.0,12.0
95,15.0,8.0,13.0,3.0,fail,15.0,7.0
96,19.0,17.0,12.0,11.0,succeed,10.0,8.0
97,16.0,16.0,7.0,14.0,fail,10.0,11.0
98,8.0,12.0,15.0,11.0,fail,9.0,9.0
99,13.0,11.0,6.0,12.0,fail,10.0,11.0
100,6.0,18.0,11.0,7.0,fail,12.0,8.0
101,6.0,10.0,8.0,13.0,fail,11.0,14.0
102,11.0,7.0,15.0,14.0,fail,13.0,10.0
103,7.0,14.0,15.0,14.0,succeed,17.0,19.0
104,13.0,10.0,9.0,18.0,succeed,19.0,8.0
105,11.0,16.0,9.0,6.0,succeed,10.0,20.0
106,12.0,8.0,16.0,11.0,succeed,8.0,16.0
107,11.0,9.0,14.0,7.0,succeed,17.0,14.0
108,7.0,9.0,13.0,19.0,fail,6.0,11.0
109,12.0,8.0,13.0,16.0,succeed,15.0,16.0
110,12.0,8.0,9.0,11.0,succeed,18.0,6.0
111,10.0,6.0,13.0,13.0,fail,15.0,3.0
112,17.0,13.0,7.0,6.0,succeed,14.0,10.0
113,13.0,14.0,11.0,13.0,succeed,12.0,17.0
114,14.0,15.0,16.0,14.0,succeed,9.0,9.0
115,11.0,12.0,13.0,8.0,succeed,12.0,19.0
116,15.0,9.0,10.0,9.0,succeed,13.0,10.0
117,12.0,4.0,14.0,19.0,fail,12.0,11.0
118,20.0,16.0,9.0,15.0,fail,8.0,6.0
119,10.0,17.0,13.0,4.0,fail,10.0,11.0
120,10.0,18.0,16.0,17.0,succeed,7.0,13.0
121,5.0,19.0,13.0,16.0,fail,6.0,6.0
122,19.0,10.0,13.0,11.0,succeed,7.0,18.0
123,6.0,13.0,15.0,6.0,fail,12.0,8.0
124,17.0,11.0,13.0,15.0,succeed,12.0,12.0
125,20.0,12.0,8.0,8.0,fail,5.0,10.0
126,14.0,17.0,3.0,12.0,fail,16.0,7.0
127,7.0,18.0,16.0,16.0,succeed,15.0,15.0
128,15.0,7.0,13.0,19.0,succeed,10.0,7.0
129,12.0,14.0,14.0,12.0,fail,6.0,14.0
130,17.0,13.0,9.0,13.0,succeed,7.0,11.0
131,14.0,13.0,13.0,10.0,succeed,18.0,18.0
132,7.0,15.0,12.0,7.0,fail,11.0,17.0
133,16.0,6.0,19.0,11.0,fail,7.0,13.0
134,12.0,11.0,11.0,16.0,succeed,10.0,17.0
135,7.0,15.0,9.0,16.0,succeed,12.0,9.0
136,15.0,11.0,17.0,14.0,succeed,14.0,14.0
137,10.0,13.0,9.0,16.0,succeed,4.0,8.0
138,4.0,17.0,11.0,8.0,succeed,11.0,16.0
139,7.0,15.0,10.0,14.0,fail,12.0,5.0
140,8.0,9.0,15.0,12.0,fail,4.0,13.0
141,8.0,13.0,5.0,13.0,succeed,16.0,14.0
142,16.0,6.0,12.0,19.0,succeed,8.0,8.0
143,13.0,5.0,10.0,8.0,fail,14.0,14.0
144,17.0,13.0,14.0,8.0,succeed,9.0,9.0
145,4.0,10.0,16.0,8.0,fail,9.0,14.0
146,11.0,7.0,17.0,18.0,fail,11.0,15.0
147,14.0,12.0,10.0,9.0,succeed,13.0,11.0
148,9.0,17.0,12.0,11.0,fail,5.0,15.0
149,6.0,11.0,16.0,16.0,succeed,13.0,15.0
150,16.0,6.0,12.0,7.0,succeed,13.0,10.0
151,12.0,11.0,15.0,12.0,fail,10.0,5.0
152,17.0,9.0,15.0,9.0,succeed,12.0,14.0
153,14.0,6.0,11.0,6.0,fail,17.0,16.0
154,17.0,17.0,11.0,7.0,fail,3.0,10.0
155,15.0,7.0,17.0,15.0,succeed,6.0,4.0
156,17.0,9.0,16.0,13.0,succeed,13.0,9.0
157,13.0,11.0,16.0,13.0,succeed,11.0,14.0
158,15.0,18.0,20.0,12.0,fail,12.0,9.0
159,9.0,11.0,8.0,20.0,succeed,6.0,10.0
160,13.0,6.0,16.0,13.0,fail,13.0,12.0
161,11.0,9.0,9.0,15.0,succeed,16.0,10.0
162,7.0,8.0,13.0,7.0,fail,15.0,12.0
163,13.0,10.0,13.0,9.0,succeed,19.0,13.0
164,13.0,18.0,9.0,11.0,succeed,12.0,10.0
165,18.0,10.0,16.0,16.0,succeed,4.0,5.0
166,18.0,11.0,11.0,17.0,succeed,15.0,8.0
167,16.0,17.0,13.0,4.0,succeed,20.0,12.0
168,12.0,4.0,11.0,8.0,fail,16.0,17.0
169,13.0,11.0,11.0,9.0,fail,14.0,9.0
170,18.0,17.0,15.0,10.0,succeed,16.0,10.0
171,10.0,15.0,17.0,11.0,fail,6.0,11.0
172,11.0,8.0,16.0,16.0,succeed,6.0,18.0
173,14.0,9.0,14.0,10.0,succeed,9.0,16.0
174,16.0,10.0,14.0,18.0,succeed,12.0,10.0
175,8.0,12.0,12.0,8.0,fail,17.0,12.0
176,9.0,14.0,7.0,5.0,fail,18.0,7.0
177,9.0,12.0,18.0,9.0,fail,6.0,11.0
178,12.0,11.0,5.0,9.0,fail,17.0,9.0
179,13.0,7.0,11.0,16.0,succeed,8.0,16.0
180,9.0,11.0,10.0,14.0,succeed,12.0,17.0
181,9.0,18.0,6.0,11.0,succeed,7.0,15.0
182,15.0,5.0,13.0,12.0,succeed,10.0,13.0
183,7.0,16.0,12.0,11.0,fail,13.0,9.0
184,11.0,7.0,11.0,15.0,fail,10.0,15.0
185,9.0,11.0,13.0,5.0,fail,13.0,14.0
186,13.0,9.0,17.0,6.0,succeed,13.0,13.0
187,9.0,14.0,11.0,12.0,fail,7.0,10.0
188,12.0,13.0,18.0,15.0,succeed,8.0,12.0
189,12.0,11.0,16.0,7.0,succeed,12.0,10.0
190,11.0,9.0,8.0,11.0,fail,12.0,12.0
191,12.0,9.0,14.0,5.0,fail,11.0,18.0
192,5.0,10.0,12.0,16.0,fail,10.0,11.0
193,16.0,18.0,12.0,17.0,succeed,16.0,6.0
194,12.0,11.0,13.0,12.0,succeed,11.0,15.0
195,18.0,11.0,13.0,17.0,fail,19.0,7.0
196,7.0,10.0,10.0,20.0,fail,12.0,9.0
197,10.0,11.0,16.0,14.0,succeed,7.0,17.0
198,16.0,12.0,13.0,5.0,fail,12.0,11.0
199,18.0,8.0,13.0,11.0,fail,14.0,18.0
200,18.0,12.0,11.0,16.0,succeed,6.0,11.0
201,16.0,5.0,14.0,16.0,succeed,16.0,14.0
202,10.0,19.0,6.0,17.0,succeed,6.0,15.0
203,11.0,9.0,13.0,11.0,fail,14.0,13.0
204,11.0,12.0,13.0,7.0,succeed,15.0,3.0
205,5.0,6.0,11.0,17.0,succeed,12.0,19.0
206,16.0,9.0,11.0,17.0,succeed,16.0,9.0
207,15.0,5.0,8.0,17.0,succeed,11.0,14.0
208,11.0,7.0,13.0,6.0,succeed,14.0,12.0
209,8.0,11.0,11.0,11.0,succeed,7.0,17.0
210,10.0,19.0,13.0,7.0,succeed,8.0,13.0
211,10.0,13.0,9.0,13.0,fail,15.0,3.0
212,12.0,3.0,7.0,20.0,succeed,7.0,20.0
213,17.0,9.0,10.0,8.0,succeed,13.0,10.0
214,3.0,19.0,9.0,13.0,fail,8.0,11.0
215,12.0,13.0,17.0,2.0,fail,12.0,13.0
216,14.0,12.0,18.0,9.0,fail,9.0,13.0
217,11.0,9.0,15.0,8.0,succeed,9.0,12.0
218,11.0,10.0,12.0,15.0,succeed,12.0,14.0
219,16.0,16.0,13.0,10.0,succeed,16.0,5.0
220,10.0,12.0,15.0,8.0,fail,3.0,14.0
221,13.0,13.0,13.0,16.0,succeed,11.0,10.0
222,8.0,20.0,11.0,11.0,succeed,15.0,17.0
223,13.0,14.0,12.0,11.0,succeed,18.0,9.0
224,13.0,12.0,14.0,10.0,fail,15.0,9.0
225,7.0,10.0,5.0,11.0,succeed,13.0,15.0
226,18.0,8.0,10.0,8.0,succeed,9.0,18.0
227,10.0,13.0,12.0,12.0,succeed,13.0,14.0
228,11.0,11.0,11.0,7.0,succeed,13.0,18.0
229,11.0,11.0,7.0,17.0,succeed,14.0,10.0
230,7.0,12.0,14.0,18.0,succeed,17.0,12.0
231,13.0,4.0,16.0,12.0,fail,11.0,14.0
232,9.0,12.0,14.0,17.0,succeed,5.0,16.0
233,8.0,11.0,16.0,7.0,fail,6.0,13.0
234,19.0,7.0,16.0,13.0,fail,4.0,12.0
235,10.0,19.0,10.0,6.0,succeed,12.0,11.0
236,12.0,5.0,11.0,15.0,succeed,11.0,9.0
237,4.0,13.0,17.0,16.0,fail,10.0,5.0
238,19.0,18.0,13.0,14.0,succeed,12.0,14.0
239,8.0,13.0,12.0,14.0,fail,10.0,12.0
240,11.0,15.0,11.0,12.0,succeed,17.0,5.0
241,12.0,11.0,11.0,15.0,succeed,10.0,15.0
242,15.0,5.0,5.0,19.0,fail,11.0,13.0
243,10.0,9.0,12.0,17.0,fail,10.0,8.0
244,10.0,11.0,10.0,13.0,fail,5.0,14.0
245,12.0,13.0,12.0,18.0,succeed,7.0,16.0
246,8.0,14.0,9.0,13.0,fail,14.0,11.0
247,7.0,19.0,6.0,14.0,fail,7.0,9.0
248,17.0,6.0,12.0,9.0,succeed,7.0,9.0
249,8.0,14.0,15.0,16.0,succeed,8.0,9.0
250,19.0,14.0,8.0,11.0,fail,4.0,8.0
251,10.0,11.0,16.0,10.0,fail,12.0,13.0
252,13.0,15.0,9.0,14.0,succeed,11.0,14.0
253,5.0,19.0,13.0,12.0,fail,12.0,11.0
254,17.0,13.0,11.0,16.0,succeed,9.0,12.0
255,9.0,13.0,9.0,17.0,succeed,9.0,7.0
256,10.0,9.0,9.0,19.0,succeed,10.0,8.0
257,15.0,16.0,12.0,14.0,succeed,14.0,7.0
258,16.0,19.0,19.0,7.0,succeed,11.0,5.0
259,19.0,4.0,18.0,9.0,succeed,10.0,7.0
260,10.0,17.0,15.0,8.0,succeed,15.0,9.0
261,6.0,17.0,14.0,6.0,succeed,8.0,11.0
262,12.0,7.0,12.0,13.0,succeed,19.0,9.0
263,14.0,13.0,8.0,16.0,succeed,19.0,9.0
264,11.0,14.0,14.0,4.0,succeed,16.0,4.0
265,13.0,8.0,17.0,7.0,succeed,11.0,16.0
266,13.0,8.0,9.0,16.0,succeed,11.0,8.0
267,12.0,16.0,10.0,7.0,succeed,6.0,14.0
268,15.0,13.0,10.0,9.0,fail,17.0,5.0
269,8.0,7.0,16.0,5.0,succeed,15.0,10.0
270,11.0,14.0,13.0,4.0,succeed,17.0,17.0
271,12.0,5.0,18.0,17.0,fail,8.0,8.0
272,19.0,9.0,16.0,16.0,succeed,16.0,10.0
273,4.0,10.0,20.0,9.0,fail,12.0,8.0
274,12.0,9.0,4.0,11.0,succeed,16.0,15.0
275,16.0,9.0,9.0,16.0,succeed,16.0,19.0
276,17.0,15.0,17.0,14.0,succeed,13.0,12.0
277,12.0,8.0,10.0,15.0,succeed,12.0,5.0
278,7.0,15.0,7.0,15.0,fail,12.0,6.0
279,8.0,7.0,11.0,12.0,succeed,15.0,13.0
280,14.0,13.0,11.0,11.0,succeed,11.0,8.0
281,3.0,16.0,17.0,11.0,fail,13.0,8.0
282,8.0,16.0,7.0,7.0,fail,12.0,13.0
283,9.0,11.0,8.0,9.0,succeed,17.0,10.0
284,9.0,11.0,12.0,16.0,succeed,18.0,18.0
285,20.0,14.0,15.0,6.0,succeed,15.0,11.0
286,13.0,18.0,7.0,13.0,succeed,15.0,13.0
287,14.0,14.0,2.0,16.0,succeed,8.0,17.0
288,13.0,5.0,6.0,10.0,succeed,12.0,17.0
289,8.0,12.0,13.0,17.0,fail,11.0,12.0
290,13.0,14.0,6.0,14.0,succeed,16.0,7.0
291,5.0,6.0,18.0,12.0,succeed,15.0,6.0
292,12.0,10.0,9.0,9.0,succeed,14.0,15.0
293,11.0,13.0,15.0,8.0,succeed,13.0,12.0
294,10.0,10.0,13.0,13.0,fail,17.0,18.0
295,10.0,14.0,10.0,10.0,succeed,13.0,7.0
296,5.0,11.0,14.0,13.0,fail,14.0,8.0
297,14.0,9.0,14.0,7.0,succeed,14.0,18.0
298,13.0,10.0,12.0,11.0,fail,13.0,10.0
299,7.0,13.0,13.0,14.0,succeed,13.0,12.0
300,7.0,10.0,13.0,12.0,fail,11.0,19.0
301,3.0,13.0,17.0,13.0,fail,9.0,8.0
302,17.0,15.0,15.0,16.0,succeed,17.0,7.0
303,9.0,9.0,12.0,16.0,succeed,19.0,15.0
304,11.0,16.0,15.0,11.0,succeed,12.0,11.0
305,8.0,15.0,11.0,16.0,fail,8.0,11.0
306,17.0,6.0,13.0,12.0,succeed,12.0,4.0
307,10.0,14.0,9.0,8.0,succeed,10.0,11.0
308,16.0,15.0,14.0,11.0,succeed,10.0,16.0
309,12.0,17.0,17.0,18.0,fail,7.0,11.0
310,10.0,17.0,9.0,14.0,succeed,9.0,14.0
311,18.0,17.0,15.0,15.0,succeed,13.0,20.0
312,14.0,18.0,17.0,8.0,succeed,6.0,12.0
313,13.0,10.0,18.0,10.0,succeed,16.0,13.0
314,11.0,10.0,14.0,18.0,succeed,3.0,12.0
315,12.0,12.0,10.0,11.0,succeed,15.0,6.0
316,7.0,14.0,18.0,16.0,fail,3.0,15.0
317,10.0,9.0,15.0,12.0,fail,13.0,2.0
318,8.0,15.0,7.0,10.0,fail,18.0,12.0
319,13.0,11.0,8.0,15.0,succeed,14.0,13.0
320,15.0,13.0,8.0,16.0,succeed,9.0,7.0
321,8.0,15.0,9.0,19.0,succeed,11.0,12.0
322,17.0,14.0,18.0,9.0,succeed,20.0,6.0
323,15.0,7.0,7.0,12.0,succeed,10.0,14.0
324,9.0,9.0,10.0,6.0,fail,14.0,14.0
325,13.0,10.0,16.0,14.0,fail,13.0,10.0
326,11.0,6.0,13.0,14.0,succeed,14.0,5.0
327,10.0,5.0,12.0,17.0,succeed,9.0,16.0
328,14.0,8.0,14.0,12.0,succeed,7.0,16.0
329,8.0,12.0,14.0,6.0,succeed,11.0,18.0
330,15.0,13.0,10.0,10.0,fail,13.0,2.0
331,15.0,13.0,17.0,16.0,succeed,17.0,17.0
332,13.0,18.0,11.0,16.0,succeed,10.0,16.0
333,17.0,17.0,11.0,9.0,succeed,13.0,3.0
334,10.0,13.0,13.0,12.0,succeed,11.0,15.0
335,12.0,10.0,8.0,17.0,fail,16.0,16.0
336,20.0,17.0,18.0,7.0,succeed,18.0,17.0
337,15.0,6.0,6.0,15.0,succeed,17.0,6.0
338,19.0,12.0,3.0,3.0,succeed,15.0,15.0
339,4.0,8.0,12.0,13.0,fail,15.0,9.0
340,10.0,7.0,10.0,11.0,fail,19.0,11.0
341,8.0,15.0,12.0,11.0,succeed,13.0,7.0
342,7.0,9.0,10.0,4.0,fail,19.0,14.0
343,16.0,20.0,10.0,9.0,succeed,8.0,11.0
344,10.0,16.0,15.0,8.0,succeed,11.0,8.0
345,20.0,13.0,12.0,6.0,succeed,6.0,3.0
346,11.0,10.0,14.0,11.0,succeed,13.0,11.0
347,12.0,13.0,10.0,9.0,succeed,13.0,8.0
348,10.0,16.0,13.0,15.0,succeed,8.0,15.0
349,13.0,14.0,6.0,17.0,succeed,11.0,6.0
350,7.0,7.0,7.0,11.0,succeed,18.0,16.0
351,13.0,13.0,19.0,4.0,fail,15.0,13.0
352,4.0,17.0,11.0,6.0,fail,13.0,18.0
353,12.0,6.0,11.0,12.0,succeed,14.0,17.0
354,20.0,11.0,6.0,12.0,succeed,11.0,14.0
355,14.0,18.0,11.0,7.0,succeed,12.0,5.0
356,19.0,5.0,10.0,16.0,fail,9.0,14.0
357,10.0,13.0,14.0,7.0,fail,8.0,8.0
358,14.0,5.0,16.0,10.0,succeed,13.0,7.0
359,13.0,9.0,17.0,8.0,succeed,14.0,14.0
360,16.0,11.0,9.0,16.0,succeed,15.0,11.0
361,10.0,14.0,11.0,11.0,succeed,12.0,16.0
362,14.0,12.0,12.0,13.0,succeed,8.0,11.0
363,15.0,17.0,18.0,7.0,succeed,10.0,6.0
364,16.0,15.0,3.0,14.0,succeed,8.0,13.0
365,12.0,12.0,7.0,7.0,succeed,18.0,9.0
366,7.0,11.0,11.0,17.0,succeed,10.0,12.0
367,11.0,12.0,13.0,16.0,succeed,18.0,12.0
368,14.0,9.0,10.0,14.0,succeed,18.0,16.0
369,20.0,3.0,18.0,12.0,fail,13.0,7.0
370,15.0,8.0,5.0,9.0,fail,10.0,14.0
371,13.0,5.0,13.0,15.0,succeed,4.0,13.0
372,7.0,2.0,14.0,20.0,succeed,17.0,11.0
373,12.0,8.0,13.0,12.0,succeed,17.0,10.0
374,8.0,16.0,15.0,19.0,succeed,13.0,18.0
375,14.0,13.0,8.0,13.0,succeed,11.0,17.0
376,10.0,14.0,9.0,6.0,succeed,13.0,12.0
377,14.0,11.0,14.0,19.0,fail,13.0,9.0
378,12.0,4.0,15.0,5.0,succeed,10.0,15.0
379,7.0,17.0,14.0,12.0,succeed,9.0,16.0
380,11.0,12.0,10.0,18.0,succeed,13.0,12.0
381,14.0,10.0,5.0,18.0,fail,12.0,15.0
382,11.0,7.0,12.0,7.0,succeed,15.0,13.0
383,8.0,14.0,11.0,10.0,fail,20.0,10.0
384,13.0,11.0,11.0,15.0,succeed,18.0,6.0
385,16.0,19.0,15.0,13.0,succeed,7.0,8.0
386,8.0,10.0,13.0,13.0,fail,7.0,16.0
387,9.0,11.0,10.0,12.0,succeed,13.0,10.0
388,17.0,11.0,9.0,16.0,succeed,9.0,13.0
389,12.0,7.0,12.0,16.0,fail,14.0,6.0
390,16.0,16.0,18.0,11.0,succeed,10.0,12.0
391,13.0,18.0,10.0,15.0,fail,13.0,4.0
392,8.0,8.0,16.0,12.0,succeed,7.0,14.0
393,16.0,13.0,8.0,12.0,succeed,13.0,12.0
394,11.0,11.0,12.0,11.0,fail,11.0,11.0
395,14.0,9.0,13.0,15.0,succeed,2.0,13.0
396,14.0,15.0,16.0,17.0,succeed,10.0,4.0
397,11.0,11.0,11.0,9.0,succeed,9.0,16.0
398,8.0,19.0,15.0,12.0,succeed,9.0,13.0
399,16.0,5.0,15.0,5.0,fail,11.0,11.0
400,19.0,19.0,7.0,9.0,succeed,12.0,13.0
401,14.0,11.0,15.0,17.0,succeed,11.0,7.0
402,18.0,12.0,11.0,14.0,succeed,10.0,5.0
403,12.0,12.0,7.0,7.0,fail,11.0,12.0
404,5.0,13.0,15.0,12.0,succeed,8.0,16.0
405,18.0,11.0,12.0,10.0,succeed,18.0,15.0
406,10.0,15.0,15.0,4.0,fail,12.0,6.0
407,2.0,17.0,9.0,16.0,succeed,10.0,17.0
408,13.0,9.0,16.0,11.0,succeed,11.0,10.0
409,13.0,5.0,16.0,9.0,succeed,13.0,19.0
410,8.0,11.0,13.0,9.0,succeed,12.0,16.0
411,14.0,16.0,7.0,12.0,succeed,12.0,12.0
412,8.0,17.0,7.0,9.0,succeed,16.0,9.0
413,4.0,10.0,14.0,10.0,fail,13.0,10.0
414,10.0,16.0,8.0,16.0,succeed,17.0,13.0
415,9.0,9.0,13.0,12.0,succeed,10.0,16.0
416,13.0,10.0,19.0,11.0,succeed,15.0,7.0
417,5.0,14.0,11.0,13.0,succeed,9.0,14.0
418,15.0,10.0,19.0,8.0,fail,5.0,6.0
419,15.0,4.0,8.0,13.0,fail,14.0,10.0
420,11.0,9.0,5.0,10.0,succeed,18.0,8.0
421,15.0,16.0,11.0,7.0,succeed,9.0,9.0
422,10.0,14.0,9.0,7.0,fail,13.0,10.0
423,15.0,9.0,7.0,16.0,succeed,11.0,12.0
424,8.0,15.0,10.0,14.0,succeed,3.0,11.0
425,17.0,15.0,14.0,10.0,succeed,20.0,15.0
426,12.0,16.0,10.0,6.0,fail,7.0,11.0
427,15.0,8.0,19.0,11.0,succeed,15.0,11.0
428,8.0,10.0,17.0,12.0,fail,13.0,6.0
429,10.0,13.0,8.0,19.0,fail,14.0,9.0
430,15.0,9.0,19.0,6.0,fail,11.0,10.0
431,12.0,4.0,17.0,15.0,succeed,14.0,13.0
432,17.0,10.0,15.0,4.0,succeed,15.0,6.0
433,12.0,8.0,11.0,16.0,succeed,13.0,11.0
434,15.0,16.0,13.0,9.0,succeed,10.0,11.0
435,14.0,8.0,7.0,3.0,succeed,14.0,18.0
436,10.0,7.0,6.0,10.0,succeed,18.0,10.0
437,10.0,15.0,16.0,6.0,fail,9.0,12.0
438,10.0,10.0,7.0,12.0,succeed,10.0,12.0
439,8.0,12.0,13.0,11.0,fail,11.0,10.0
440,13.0,11.0,12.0,9.0,succeed,11.0,12.0
441,10.0,18.0,11.0,7.0,succeed,19.0,11.0
442,16.0,10.0,16.0,8.0,succeed,10.0,13.0
443,15.0,18.0,11.0,7.0,fail,10.0,6.0
444,15.0,16.0,3.0,13.0,succeed,20.0,11.0
445,14.0,15.0,19.0,11.0,succeed,10.0,12.0
446,12.0,10.0,14.0,14.0,succeed,15.0,13.0
447,15.0,13.0,7.0,17.0,succeed,13.0,6.0
448,18.0,17.0,13.0,12.0,fail,11.0,10.0
449,10.0,20.0,14.0,11.0,succeed,10.0,13.0
450,8.0,10.0,11.0,13.0,succeed,14.0,15.0
451,10.0,7.0,12.0,11.0,fail,9.0,11.0
452,12.0,2.0,13.0,12.0,succeed,10.0,13.0
453,18.0,9.0,16.0,12.0,succeed,14.0,7.0
454,12.0,12.0,10.0,13.0,succeed,8.0,7.0
455,12.0,16.0,4.0,14.0,succeed,6.0,9.0
456,13.0,11.0,13.0,5.0,fail,6.0,16.0
457,11.0,18.0,6.0,16.0,succeed,10.0,17.0
458,3.0,6.0,11.0,15.0,fail,14.0,11.0
459,11.0,18.0,11.0,11.0,succeed,7.0,16.0
460,2.0,11.0,12.0,7.0,fail,12.0,16.0
461,13.0,11.0,15.0,3.0,succeed,11.0,16.0
462,13.0,12.0,5.0,15.0,succeed,11.0,16.0
463,12.0,11.0,18.0,9.0,succeed,8.0,17.0
464,13.0,10.0,12.0,9.0,succeed,12.0,16.0
465,8.0,10.0,5.0,18.0,succeed,15.0,13.0
466,10.0,8.0,13.0,10.0,fail,11.0,15.0
467,11.0,14.0,11.0,6.0,fail,6.0,13.0
468,12.0,7.0,10.0,16.0,succeed,11.0,10.0
469,10.0,16.0,6.0,7.0,fail,12.0,12.0
