,cha,con,dex,int,str,wis,result
316,7,14,18,16,3,15,fail
317,10,9,15,12,13,2,fail
318,8,15,7,10,18,12,fail
319,13,11,8,15,14,13,succeed
320,15,13,8,16,9,7,succeed
321,8,15,9,19,11,12,succeed
322,17,14,18,9,20,6,succeed
323,15,7,7,12,10,14,succeed
324,9,9,10,6,14,14,fail
325,13,10,16,14,13,10,fail
326,11,6,13,14,14,5,succeed
327,10,5,12,17,9,16,succeed
328,14,8,14,12,7,16,succeed
329,8,12,14,6,11,18,succeed
330,15,13,10,10,13,2,fail
331,15,13,17,16,17,17,succeed
332,13,18,11,16,10,16,succeed
333,17,17,11,9,13,3,succeed
334,10,13,13,12,11,15,succeed
335,12,10,8,17,16,16,fail
336,20,17,18,7,18,17,succeed
337,15,6,6,15,17,6,succeed
338,19,12,3,3,15,15,succeed
339,4,8,12,13,15,9,fail
340,10,7,10,11,19,11,fail
341,8,15,12,11,13,7,succeed
342,7,9,10,4,19,14,fail
343,16,20,10,9,8,11,succeed
344,10,16,15,8,11,8,succeed
345,20,13,12,6,6,3,succeed
346,11,10,14,11,13,11,succeed
347,12,13,10,9,13,8,succeed
348,10,16,13,15,8,15,succeed
349,13,14,6,17,11,6,succeed
350,7,7,7,11,18,16,succeed
351,13,13,19,4,15,13,fail
352,4,17,11,6,13,18,fail
353,12,6,11,12,14,17,succeed
354,20,11,6,12,11,14,succeed
355,14,18,11,7,12,5,succeed
356,19,5,10,16,9,14,fail
357,10,13,14,7,8,8,fail
358,14,5,16,10,13,7,succeed
359,13,9,17,8,14,14,succeed
360,16,11,9,16,15,11,succeed
361,10,14,11,11,12,16,succeed
362,14,12,12,13,8,11,succeed
363,15,17,18,7,10,6,succeed
364,16,15,3,14,8,13,succeed
365,12,12,7,7,18,9,succeed
366,7,11,11,17,10,12,succeed
367,11,12,13,16,18,12,succeed
368,14,9,10,14,18,16,succeed
369,20,3,18,12,13,7,fail
370,15,8,5,9,10,14,fail
371,13,5,13,15,4,13,succeed
372,7,2,14,20,17,11,succeed
373,12,8,13,12,17,10,succeed
374,8,16,15,19,13,18,succeed
375,14,13,8,13,11,17,succeed
376,10,14,9,6,13,12,succeed
377,14,11,14,19,13,9,fail
378,12,4,15,5,10,15,succeed
379,7,17,14,12,9,16,succeed
380,11,12,10,18,13,12,succeed
381,14,10,5,18,12,15,fail
382,11,7,12,7,15,13,succeed
383,8,14,11,10,20,10,fail
384,13,11,11,15,18,6,succeed
385,16,19,15,13,7,8,succeed
386,8,10,13,13,7,16,fail
387,9,11,10,12,13,10,succeed
388,17,11,9,16,9,13,succeed
389,12,7,12,16,14,6,fail
390,16,16,18,11,10,12,succeed
391,13,18,10,15,13,4,fail
392,8,8,16,12,7,14,succeed
393,16,13,8,12,13,12,succeed
394,11,11,12,11,11,11,fail
395,14,9,13,15,2,13,succeed
396,14,15,16,17,10,4,succeed
397,11,11,11,9,9,16,succeed
398,8,19,15,12,9,13,succeed
399,16,5,15,5,11,11,fail
400,19,19,7,9,12,13,succeed
401,14,11,15,17,11,7,succeed
402,18,12,11,14,10,5,succeed
403,12,12,7,7,11,12,fail
404,5,13,15,12,8,16,succeed
405,18,11,12,10,18,15,succeed
406,10,15,15,4,12,6,fail
407,2,17,9,16,10,17,succeed
408,13,9,16,11,11,10,succeed
409,13,5,16,9,13,19,succeed
410,8,11,13,9,12,16,succeed
411,14,16,7,12,12,12,succeed
412,8,17,7,9,16,9,succeed
413,4,10,14,10,13,10,fail
414,10,16,8,16,17,13,succeed
415,9,9,13,12,10,16,succeed
416,13,10,19,11,15,7,succeed
417,5,14,11,13,9,14,succeed
418,15,10,19,8,5,6,fail
419,15,4,8,13,14,10,fail
420,11,9,5,10,18,8,succeed
421,15,16,11,7,9,9,succeed
422,10,14,9,7,13,10,fail
423,15,9,7,16,11,12,succeed
424,8,15,10,14,3,11,succeed
425,17,15,14,10,20,15,succeed
426,12,16,10,6,7,11,fail
427,15,8,19,11,15,11,succeed
428,8,10,17,12,13,6,fail
429,10,13,8,19,14,9,fail
430,15,9,19,6,11,10,fail
431,12,4,17,15,14,13,succeed
432,17,10,15,4,15,6,succeed
433,12,8,11,16,13,11,succeed
434,15,16,13,9,10,11,succeed
435,14,8,7,3,14,18,succeed
436,10,7,6,10,18,10,succeed
437,10,15,16,6,9,12,fail
438,10,10,7,12,10,12,succeed
439,8,12,13,11,11,10,fail
440,13,11,12,9,11,12,succeed
441,10,18,11,7,19,11,succeed
442,16,10,16,8,10,13,succeed
443,15,18,11,7,10,6,fail
444,15,16,3,13,20,11,succeed
445,14,15,19,11,10,12,succeed
446,12,10,14,14,15,13,succeed
447,15,13,7,17,13,6,succeed
448,18,17,13,12,11,10,fail
449,10,20,14,11,10,13,succeed
450,8,10,11,13,14,15,succeed
451,10,7,12,11,9,11,fail
452,12,2,13,12,10,13,succeed
453,18,9,16,12,14,7,succeed
454,12,12,10,13,8,7,succeed
455,12,16,4,14,6,9,succeed
456,13,11,13,5,6,16,fail
457,11,18,6,16,10,17,succeed
458,3,6,11,15,14,11,fail
459,11,18,11,11,7,16,succeed
460,2,11,12,7,12,16,fail
461,13,11,15,3,11,16,succeed
462,13,12,5,15,11,16,succeed
463,12,11,18,9,8,17,succeed
464,13,10,12,9,12,16,succeed
465,8,10,5,18,15,13,succeed
466,10,8,13,10,11,15,fail
467,11,14,11,6,6,13,fail
468,12,7,10,16,11,10,succeed
469,10,16,6,7,12,12,fail
470,13,3,9,12,7,19,succeed
471,15,16,14,15,3,14,succeed
472,15,20,13,7,12,7,fail
473,11,16,15,12,15,15,succeed
474,16,6,15,11,17,10,succeed
475,11,15,11,14,15,10,succeed
476,7,13,10,14,11,11,fail
477,9,15,18,15,6,6,fail
478,13,18,19,14,13,11,succeed
479,18,10,6,4,14,9,succeed
480,8,17,18,6,7,8,fail
481,10,17,8,7,18,11,fail
482,13,11,17,3,11,13,fail
483,19,13,15,12,9,12,succeed
484,10,14,10,10,16,11,succeed
485,9,9,10,19,18,18,succeed
486,8,15,12,6,14,5,succeed
487,17,6,18,14,6,14,fail
488,11,13,11,12,20,9,succeed
489,16,10,13,10,5,14,fail
490,10,17,19,11,9,7,succeed
491,19,17,19,7,9,4,succeed
492,8,10,10,18,10,12,succeed
493,12,5,15,8,12,13,succeed
494,17,15,6,16,11,14,succeed
495,11,12,7,16,7,17,fail
496,13,5,9,15,18,5,succeed
497,15,9,13,13,6,5,fail
498,15,3,8,15,15,8,fail
499,15,15,12,15,13,10,succeed
500,14,8,9,13,17,18,succeed
501,12,7,8,5,13,15,succeed
502,18,12,8,13,9,16,succeed
503,15,10,9,14,18,8,succeed
504,15,16,18,11,13,2,succeed
505,14,13,18,10,16,6,fail
506,12,18,17,17,10,13,succeed
507,13,12,18,13,8,10,succeed
508,16,13,13,13,8,15,succeed
509,11,12,10,7,7,20,fail
510,11,7,8,12,8,17,succeed
511,11,13,8,10,11,17,succeed
512,6,16,14,14,11,11,fail
513,12,11,12,11,9,7,fail
514,12,13,6,15,17,12,succeed
515,14,7,7,14,12,9,fail
516,14,9,13,10,20,11,succeed
517,12,12,13,12,6,12,succeed
518,5,11,15,17,9,5,succeed
519,8,6,11,10,15,10,fail
520,14,13,17,5,9,17,succeed
521,10,12,12,17,10,13,succeed
522,12,4,13,16,13,7,fail
523,11,16,18,14,10,8,succeed
524,13,11,9,13,13,15,succeed
525,10,7,17,15,8,15,fail
526,12,15,11,15,14,9,succeed
527,9,17,17,14,10,13,succeed
528,13,11,17,15,3,9,succeed
529,12,8,8,14,11,15,succeed
530,11,9,9,10,13,11,succeed
531,10,6,17,16,13,15,succeed
532,10,15,5,12,16,12,succeed
533,12,13,7,14,11,17,succeed
534,17,2,13,11,11,12,succeed
535,4,13,13,5,13,16,succeed
536,11,16,9,11,14,12,succeed
537,7,14,9,13,7,11,succeed
538,18,4,16,7,12,9,succeed
539,17,16,15,15,12,11,succeed
540,13,9,16,5,15,12,fail
541,11,11,13,16,2,11,succeed
542,8,17,5,18,9,7,succeed
543,11,8,13,6,8,17,fail
544,18,11,14,6,11,16,succeed
545,15,9,11,16,5,7,succeed
546,8,10,14,4,5,19,succeed
547,19,13,8,11,17,2,fail
548,13,16,9,10,6,6,succeed
549,11,13,18,8,10,7,succeed
550,7,6,12,16,12,9,fail
551,14,13,16,13,6,18,succeed
552,11,9,9,9,11,11,fail
553,11,9,7,12,17,11,succeed
554,9,6,16,12,10,9,fail
555,10,12,9,10,11,15,succeed
556,6,14,7,14,15,9,succeed
557,9,12,19,4,12,10,fail
558,14,15,12,12,20,13,succeed
559,12,8,10,2,14,14,succeed
560,10,7,13,14,12,15,succeed
561,19,20,9,9,12,19,succeed
562,4,20,13,8,17,18,succeed
563,10,11,5,7,18,10,fail
564,12,9,17,11,12,6,fail
565,12,16,17,15,6,14,fail
566,10,17,9,10,13,4,fail
567,9,13,9,9,7,15,succeed
568,9,8,9,12,11,19,succeed
569,10,11,4,19,3,17,fail
570,12,6,12,12,8,13,succeed
571,13,6,3,12,16,10,succeed
572,18,10,11,10,4,8,succeed
573,10,13,16,4,4,18,fail
574,13,17,14,5,8,13,fail
575,5,19,11,9,10,11,fail
576,10,13,9,16,5,16,succeed
577,17,12,9,9,13,5,fail
578,10,15,14,5,10,8,fail
579,9,15,7,13,12,6,fail
580,20,10,8,8,16,3,fail
581,18,11,11,11,4,15,succeed
582,7,17,9,5,13,19,succeed
583,12,10,17,9,15,13,succeed
584,19,13,10,7,9,7,succeed
585,2,16,11,13,9,13,fail
586,6,9,14,15,18,11,fail
587,5,14,9,12,17,11,succeed
588,11,20,10,17,11,9,succeed
589,18,5,13,10,4,18,fail
590,12,14,6,6,16,11,succeed
591,14,14,3,16,5,14,succeed
592,8,10,15,15,9,15,succeed
593,9,9,9,10,13,14,fail
594,12,9,8,13,12,17,succeed
595,12,19,8,16,14,9,succeed
596,20,15,11,3,10,10,succeed
597,6,15,15,9,13,11,succeed
598,15,13,7,15,6,20,succeed
599,11,18,15,16,7,12,succeed
600,7,14,10,18,7,8,fail
601,7,13,10,14,10,13,succeed
602,19,11,19,11,17,18,succeed
603,9,14,8,10,6,13,fail
604,15,14,9,9,16,14,succeed
605,17,7,8,10,11,13,succeed
606,8,18,10,10,8,8,succeed
607,12,6,12,12,10,18,fail
608,12,11,5,10,9,16,succeed
609,5,9,16,11,10,17,fail
610,12,13,8,15,3,9,succeed
611,8,7,5,12,17,12,fail
612,12,8,8,12,13,14,fail
613,12,10,5,11,17,8,succeed
614,19,12,9,11,13,11,succeed
615,17,15,9,10,17,12,succeed
616,13,17,11,13,11,11,succeed
617,15,12,11,9,7,8,fail
618,10,13,14,9,11,11,succeed
619,14,12,16,10,12,6,succeed
620,13,17,8,13,11,14,succeed
621,8,18,15,6,10,11,succeed
622,16,16,10,12,12,15,succeed
623,8,4,16,18,10,7,fail
624,14,12,13,13,13,11,succeed
625,13,11,12,10,9,8,succeed
626,13,17,11,10,14,15,succeed
627,10,7,11,16,13,13,fail
628,11,16,2,8,10,19,succeed
629,9,12,19,18,9,10,succeed
630,17,15,6,10,12,15,succeed
631,5,12,12,8,15,8,fail
632,18,9,15,7,16,6,fail
633,14,11,14,16,12,15,succeed
634,20,17,10,19,12,14,succeed
635,18,6,18,2,10,8,fail
636,19,4,15,9,6,10,succeed
637,11,9,18,11,10,8,fail
638,17,6,15,7,8,13,succeed
639,9,15,6,14,11,15,succeed
640,16,12,14,13,18,16,succeed
641,16,10,15,16,12,12,succeed
642,11,14,19,9,13,19,succeed
643,9,10,13,14,5,15,succeed
644,15,6,12,11,12,9,succeed
645,20,9,12,8,9,13,succeed
646,10,13,11,12,9,16,succeed
647,6,5,13,15,11,11,fail
648,6,7,17,16,14,12,fail
649,12,8,2,19,13,9,succeed
650,8,13,12,12,14,6,succeed
651,13,11,18,13,8,8,succeed
652,17,15,10,12,16,12,succeed
653,16,13,12,13,13,16,succeed
654,12,10,9,11,20,14,succeed
655,10,17,14,12,10,7,succeed
656,6,16,6,15,15,14,succeed
657,7,17,8,11,9,12,succeed
658,19,12,11,14,7,4,fail
659,11,7,12,9,16,11,fail
660,7,7,15,12,7,13,fail
661,19,12,12,8,12,11,succeed
662,14,10,15,15,16,8,succeed
663,11,11,12,4,10,13,fail
664,7,4,10,7,20,13,succeed
665,13,10,17,11,14,10,succeed
666,5,8,15,16,15,12,succeed
667,9,14,3,20,13,8,succeed
668,17,12,8,6,9,18,fail
669,18,12,15,4,14,8,fail
670,13,12,13,8,9,18,succeed
671,7,10,10,19,8,15,fail
672,19,8,7,12,12,7,succeed
673,13,10,11,11,4,15,fail
674,17,10,16,19,14,15,fail
675,17,9,15,11,12,12,succeed
676,12,16,8,12,2,14,fail
677,8,14,8,6,18,10,fail
678,19,9,7,11,10,13,succeed
679,8,7,17,13,12,12,fail
680,16,11,19,10,4,16,succeed
681,12,16,11,7,6,16,fail
682,12,8,10,9,13,14,succeed
683,16,12,3,18,11,11,succeed
684,12,13,17,7,11,18,succeed
685,13,14,16,19,13,7,fail
686,6,12,16,17,16,8,succeed
687,12,12,10,15,12,15,succeed
688,10,12,10,7,18,12,succeed
689,12,12,9,9,19,5,fail
690,13,11,15,12,11,5,fail
691,9,11,17,15,11,8,succeed
692,19,13,10,12,10,9,succeed
693,19,7,8,14,11,15,succeed
694,11,6,11,10,19,4,fail
695,18,8,14,18,13,7,fail
696,3,11,16,13,5,15,fail
697,8,12,5,11,15,9,succeed
698,9,9,13,9,17,4,fail
699,16,16,11,7,15,8,succeed
700,17,4,19,8,5,11,succeed
701,17,10,11,7,6,15,fail
702,13,16,7,2,16,16,succeed
703,12,10,7,11,12,8,fail
704,13,12,13,9,14,9,fail
705,17,10,9,5,11,11,fail
706,11,15,13,11,20,7,succeed
707,16,13,13,9,17,5,succeed
708,10,13,6,15,15,8,succeed
709,7,9,6,11,12,16,succeed
710,18,11,12,11,10,9,succeed
711,3,5,14,7,20,14,fail
712,17,12,16,16,20,14,succeed
713,16,8,14,13,17,17,succeed
714,11,11,8,11,11,17,succeed
715,9,8,13,15,3,13,fail
716,9,11,10,12,17,10,fail
717,12,9,9,16,9,8,fail
718,17,13,15,17,11,17,succeed
719,11,17,5,10,18,5,succeed
720,11,10,18,19,14,9,fail
721,10,12,14,18,19,15,succeed
722,9,5,17,14,9,13,fail
723,12,13,17,11,5,9,succeed
724,11,12,11,9,16,6,fail
725,7,14,11,10,13,10,succeed
726,10,11,11,14,2,14,fail
727,9,6,19,10,8,13,fail
728,13,9,8,10,9,13,succeed
729,15,10,15,4,10,12,fail
730,15,6,9,13,20,13,succeed
731,14,8,17,2,17,17,succeed
732,10,10,4,16,15,10,succeed
733,9,14,12,8,15,10,succeed
734,16,12,8,16,5,17,fail
735,11,17,16,3,10,12,succeed
736,7,9,15,15,16,5,succeed
737,12,7,10,7,9,19,fail
738,12,12,7,13,12,8,succeed
739,13,10,12,16,7,16,succeed
740,3,12,15,17,7,13,succeed
741,12,9,10,18,6,12,succeed
742,11,17,4,15,11,9,succeed
743,9,15,10,12,11,8,succeed
744,9,12,13,11,12,11,succeed
745,17,11,6,13,12,4,succeed
746,5,5,17,8,16,9,fail
747,10,11,19,9,4,14,fail
748,16,11,9,11,7,12,succeed
749,12,15,12,15,8,16,succeed
750,10,14,7,15,8,9,succeed
751,11,13,10,2,11,16,succeed
752,11,19,12,11,17,12,succeed
753,12,12,11,12,16,12,fail
754,11,17,11,11,13,11,succeed
755,12,18,10,13,16,16,succeed
756,11,5,13,16,14,7,fail
757,19,9,10,14,7,9,succeed
758,11,4,13,11,15,9,fail
759,17,8,13,9,10,4,succeed
760,8,13,10,13,17,13,succeed
761,8,13,14,10,7,12,fail
762,12,16,12,20,14,3,fail
763,6,15,16,13,4,12,fail
764,2,13,11,18,8,10,succeed
765,10,14,14,3,6,14,fail
766,15,4,14,16,12,8,fail
767,16,11,17,11,19,17,succeed
768,14,6,9,8,17,10,fail
769,13,17,11,4,10,16,succeed
770,19,12,11,6,15,14,succeed
771,13,15,9,11,10,7,fail
772,20,5,12,10,15,10,succeed
773,5,18,12,12,18,11,succeed
774,5,14,13,13,15,14,fail
775,7,13,9,12,14,13,succeed
776,17,11,17,17,7,8,succeed
777,13,11,4,15,14,13,succeed
778,6,9,14,11,9,15,succeed
779,7,10,15,10,14,10,fail
780,12,13,12,14,8,9,succeed
781,16,14,15,10,7,10,succeed
782,8,8,17,3,19,14,succeed
783,11,14,10,12,15,7,succeed
784,11,13,8,18,11,8,succeed
785,14,12,13,12,9,11,succeed
786,15,13,6,6,9,12,succeed
787,12,14,17,2,6,17,fail
788,17,13,16,9,16,16,succeed
789,13,12,11,10,12,6,succeed
